seq,stamp_secs,stamp_nsecs,frame_id,GPS_INS_Time,GPS_IMU_Time,GPS_mSOW_data,LLH_x,LLH_y,LLH_z,YPR_x,YPR_y,YPR_z,OriQuat_x,OriQuat_y,OriQuat_z,OriQuat_w,Vel_ENU_x,Vel_ENU_y,Vel_ENU_z,Solution_Status_data,Pos_STD_x,Pos_STD_y,Pos_STD_z,Heading_STD,USW
0,1652992540,807979644,"""2003127""",259256.38,259256.385021,0,39.040000941,-77.389999463,-0.008,152.531,-0.054,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1,1652992540,828956470,"""2003127""",259256.4,259256.405022,0,39.040000941,-77.389999463,-0.008,152.534,-0.054,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2,1652992540,849956906,"""2003127""",259256.42,259256.425023,0,39.040000941,-77.389999464,-0.008,152.533,-0.056,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
3,1652992540,871068895,"""2003127""",259256.44,259256.445025,0,39.040000941,-77.389999464,-0.008,152.533,-0.059,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
4,1652992540,886952182,"""2003127""",259256.46,259256.465027,0,39.040000941,-77.389999464,-0.008,152.53,-0.054,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
5,1652992540,908029691,"""2003127""",259256.48,259256.485027,0,39.040000942,-77.389999464,-0.008,152.527,-0.054,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
6,1652992540,928928408,"""2003127""",259256.5,259256.505028,0,39.040000942,-77.389999465,-0.008,152.546,-0.051,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
7,1652992540,949970732,"""2003127""",259256.52,259256.524959,0,39.040000941,-77.389999466,-0.009,152.601,-0.054,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
8,1652992540,971035519,"""2003127""",259256.54,259256.54496,0,39.040000942,-77.389999466,-0.009,152.603,-0.056,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
9,1652992540,986923232,"""2003127""",259256.56,259256.564962,0,39.040000942,-77.389999466,-0.009,152.603,-0.049,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
10,1652992541,7968167,"""2003127""",259256.58,259256.584963,0,39.040000942,-77.389999467,-0.009,152.607,-0.05,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
11,1652992541,28895568,"""2003127""",259256.6,259256.604964,0,39.040000941,-77.389999468,-0.009,152.716,-0.046,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
12,1652992541,49957855,"""2003127""",259256.62,259256.624965,0,39.040000939,-77.389999471,-0.009,152.97,-0.044,0.175,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
13,1652992541,71231766,"""2003127""",259256.64,259256.644966,0,39.040000937,-77.389999476,-0.009,153.276,-0.041,0.177,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
14,1652992541,86991982,"""2003127""",259256.66,259256.664969,0,39.040000935,-77.38999948,-0.009,153.521,-0.037,0.192,0.0,0.0,0.0,0.0,-0.02,-0.01,0.0,0,0.0,0.0,0.0,0.0,0
15,1652992541,107951253,"""2003127""",259256.68,259256.684969,0,39.04000093,-77.389999486,-0.009,153.826,-0.036,0.226,0.0,0.0,0.0,0.0,-0.03,-0.03,0.0,0,0.0,0.0,0.0,0.0,0
16,1652992541,128879007,"""2003127""",259256.7,259256.70497,0,39.040000919,-77.389999495,-0.009,154.248,-0.02,0.33,0.0,0.0,0.0,0.0,-0.04,-0.07,0.0,0,0.0,0.0,0.0,0.0,0
17,1652992541,149916942,"""2003127""",259256.72,259256.724973,0,39.040000901,-77.389999509,-0.009,155.339,0.049,1.0,0.0,0.0,0.0,0.0,-0.07,-0.11,0.03,0,0.0,0.0,0.0,0.0,0
18,1652992541,170877509,"""2003127""",259256.74,259256.744972,0,39.040000879,-77.389999528,-0.007,157.574,0.366,2.577,0.0,0.0,0.0,0.0,-0.09,-0.12,0.08,0,0.0,0.0,0.0,0.0,0
19,1652992541,186970106,"""2003127""",259256.76,259256.764973,0,39.040000858,-77.389999552,-0.005,160.329,1.056,5.141,0.0,0.0,0.0,0.0,-0.12,-0.12,0.11,0,0.0,0.0,0.0,0.0,0
20,1652992541,207854453,"""2003127""",259256.78,259256.784974,0,39.040000835,-77.389999586,-0.003,163.224,1.959,8.107,0.0,0.0,0.0,0.0,-0.17,-0.13,0.12,0,0.0,0.0,0.0,0.0,0
21,1652992541,228916721,"""2003127""",259256.8,259256.804976,0,39.040000808,-77.389999633,0.0,166.32,3.093,10.784,0.0,0.0,0.0,0.0,-0.23,-0.16,0.13,0,0.0,0.0,0.0,0.0,0
22,1652992541,249960027,"""2003127""",259256.82,259256.824977,0,39.040000774,-77.389999696,0.001,169.383,4.696,12.642,0.0,0.0,0.0,0.0,-0.3,-0.2,0.15,0,0.0,0.0,0.0,0.0,0
23,1652992541,270965353,"""2003127""",259256.84,259256.844978,0,39.040000735,-77.389999772,0.005,172.278,6.675,13.923,0.0,0.0,0.0,0.0,-0.34,-0.21,0.22,0,0.0,0.0,0.0,0.0,0
24,1652992541,286845529,"""2003127""",259256.86,259256.864979,0,39.040000697,-77.389999854,0.01,175.122,8.894,15.232,0.0,0.0,0.0,0.0,-0.36,-0.2,0.3,0,0.0,0.0,0.0,0.0,0
25,1652992541,307890779,"""2003127""",259256.88,259256.88498,0,39.040000662,-77.389999942,0.017,178.063,11.403,16.909,0.0,0.0,0.0,0.0,-0.39,-0.18,0.39,0,0.0,0.0,0.0,0.0,0
26,1652992541,328837902,"""2003127""",259256.9,259256.904982,0,39.040000634,-77.390000035,0.026,180.698,13.638,18.727,0.0,0.0,0.0,0.0,-0.4,-0.13,0.46,0,0.0,0.0,0.0,0.0,0
27,1652992541,349876226,"""2003127""",259256.92,259256.924983,0,39.040000612,-77.39000013,0.036,183.031,15.893,20.671,0.0,0.0,0.0,0.0,-0.42,-0.1,0.51,0,0.0,0.0,0.0,0.0,0
28,1652992541,370824572,"""2003127""",259256.94,259256.944985,0,39.040000594,-77.390000234,0.046,185.395,18.375,22.236,0.0,0.0,0.0,0.0,-0.46,-0.08,0.55,0,0.0,0.0,0.0,0.0,0
29,1652992541,386965056,"""2003127""",259256.96,259256.964985,0,39.040000582,-77.390000343,0.058,187.887,20.853,23.855,0.0,0.0,0.0,0.0,-0.47,-0.04,0.61,0,0.0,0.0,0.0,0.0,0
30,1652992541,407874902,"""2003127""",259256.98,259256.984986,0,39.040000578,-77.390000453,0.071,190.395,23.328,25.867,0.0,0.0,0.0,0.0,-0.47,0.0,0.66,0,0.0,0.0,0.0,0.0,0
31,1652992541,428799322,"""2003127""",259257.0,259257.004987,0,39.040000582,-77.390000561,0.084,192.788,25.759,27.898,0.0,0.0,0.0,0.0,-0.45,0.04,0.67,0,0.0,0.0,0.0,0.0,0
32,1652992541,449904830,"""2003127""",259257.02,259257.024991,0,39.040000595,-77.390000663,0.098,195.034,28.06,29.767,0.0,0.0,0.0,0.0,-0.42,0.09,0.68,0,0.0,0.0,0.0,0.0,0
33,1652992541,470929007,"""2003127""",259257.04,259257.04499,0,39.040000615,-77.390000758,0.112,197.178,30.317,31.59,0.0,0.0,0.0,0.0,-0.39,0.13,0.71,0,0.0,0.0,0.0,0.0,0
34,1652992541,486796239,"""2003127""",259257.06,259257.064991,0,39.040000643,-77.390000845,0.126,199.229,32.812,33.448,0.0,0.0,0.0,0.0,-0.34,0.18,0.74,0,0.0,0.0,0.0,0.0,0
35,1652992541,507841230,"""2003127""",259257.08,259257.084992,0,39.040000681,-77.390000917,0.141,201.024,35.673,35.291,0.0,0.0,0.0,0.0,-0.28,0.23,0.76,0,0.0,0.0,0.0,0.0,0
36,1652992541,528772168,"""2003127""",259257.1,259257.104995,0,39.040000729,-77.390000975,0.157,202.676,38.892,37.241,0.0,0.0,0.0,0.0,-0.21,0.29,0.78,0,0.0,0.0,0.0,0.0,0
37,1652992541,549919972,"""2003127""",259257.12,259257.124995,0,39.040000787,-77.390001017,0.173,204.431,42.34,39.642,0.0,0.0,0.0,0.0,-0.14,0.34,0.79,0,0.0,0.0,0.0,0.0,0
38,1652992541,570895779,"""2003127""",259257.14,259257.144996,0,39.040000853,-77.390001043,0.189,206.245,45.794,42.482,0.0,0.0,0.0,0.0,-0.07,0.39,0.79,0,0.0,0.0,0.0,0.0,0
39,1652992541,586845639,"""2003127""",259257.16,259257.164997,0,39.040000928,-77.390001054,0.204,208.089,49.299,45.651,0.0,0.0,0.0,0.0,-0.02,0.44,0.78,0,0.0,0.0,0.0,0.0,0
40,1652992541,607867667,"""2003127""",259257.18,259257.185,0,39.040001011,-77.390001056,0.22,210.423,53.108,49.432,0.0,0.0,0.0,0.0,0.0,0.48,0.78,0,0.0,0.0,0.0,0.0,0
41,1652992541,628765088,"""2003127""",259257.2,259257.204999,0,39.040001101,-77.39000105,0.236,213.47,57.302,53.957,0.0,0.0,0.0,0.0,0.04,0.52,0.76,0,0.0,0.0,0.0,0.0,0
42,1652992541,649757154,"""2003127""",259257.22,259257.225001,0,39.040001198,-77.390001035,0.251,217.078,61.661,59.303,0.0,0.0,0.0,0.0,0.08,0.55,0.71,0,0.0,0.0,0.0,0.0,0
43,1652992541,670863070,"""2003127""",259257.24,259257.245004,0,39.0400013,-77.39000101,0.264,220.921,65.829,65.342,0.0,0.0,0.0,0.0,0.13,0.56,0.64,0,0.0,0.0,0.0,0.0,0
44,1652992541,686899594,"""2003127""",259257.26,259257.265005,0,39.040001402,-77.390000974,0.276,224.888,69.469,72.045,0.0,0.0,0.0,0.0,0.17,0.56,0.56,0,0.0,0.0,0.0,0.0,0
45,1652992541,707795940,"""2003127""",259257.28,259257.285004,0,39.040001501,-77.390000928,0.287,228.643,72.524,78.862,0.0,0.0,0.0,0.0,0.22,0.53,0.47,0,0.0,0.0,0.0,0.0,0
46,1652992541,728726675,"""2003127""",259257.3,259257.305006,0,39.040001594,-77.390000872,0.295,231.317,75.055,84.517,0.0,0.0,0.0,0.0,0.26,0.49,0.37,0,0.0,0.0,0.0,0.0,0
